title,company,location,category,salary_min,salary_max,salary_predicted,description,redirect_url
IT Job Training Opportunity,Year Up United,"West Lynn, Essex County",IT Jobs,49567.02,49567.02,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5328573464?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=575426FD58B1F6CC79D9DFD6BC1F4D4A84459FA5
IT Job Training Program,Year Up United,"Riverside, Providence County",Teaching Jobs,35665.51,35665.51,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5392366111?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=97BF0BC03510272FB726824D0590F0E5B07CBFA8
IT Job Training Program,Year Up United,"Del Valle, Travis County",Teaching Jobs,34741.18,34741.18,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5346727574?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=0191F15847CB33241B2EC4F47DFD6AE0A2A0372B
IT Job Training Opportunity,Year Up United,"Providence, Providence County",IT Jobs,53056.23,53056.23,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5347977952?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=75D10A048B73CBFCF9C73325D51E1F1D9935261D
IT Job Training Program,Year Up United,"Cumberland, Providence County",Teaching Jobs,37596.78,37596.78,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5392365990?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=A4F0297891794B3109FB5A422BF06549DF9DAC71
IT Job Training Program,Year Up United,"Manchaca, Travis County",Teaching Jobs,31496.26,31496.26,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5346728598?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=8BC7869229AE26BF8ED4A1482A66BC61F6F6743B
IT Job Training Opportunity,Year Up United,"Manchester, Hillsborough County",IT Jobs,73946.47,73946.47,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5346854978?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=5E8FCFEDB02A163D50D92B070777B2B741567C63
IT Job Training Opportunity,Year Up United,"East Cambridge, Middlesex County",IT Jobs,57634.68,57634.68,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5347980731?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=9A53CDF31D0DF522B8B3B038462768529F6F962B
IT Job Training Opportunity,Year Up United,"Hudson, Hillsborough County",IT Jobs,47114.76,47114.76,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5327967428?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=F40C9BB1D8F8A595B92470E8F247CB49E9D79231
IT Job Training Program,Year Up United,"Centerdale, Providence County",Teaching Jobs,31725.25,31725.25,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5392367391?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=6AB5AE266FCB43CE4CDBFA3D768EE8C9790DA943
IT Job Training Opportunity,Year Up United,"Somerset, Bristol County",IT Jobs,48370.62,48370.62,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5328497722?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=E81A426E1425C2E0BE522875975655B7FB5A664D
IT Controls Supervisor,Halliburton,"Houston, Harris County",Accounting & Finance Jobs,123157.12,123157.12,1,"We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world's largest providers of products and services to the global energy industry. Job Duties We are seeking an experienced IT Controls Supervisor in our Internal Assurance Services department. The ideal…",https://www.adzuna.com/land/ad/5370421453?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=A100401DBF6A86EC2BAECBC54AAC7D7AF71C9627
