title,occupation_family,salary_median_clean,job_growth
Genetic Counselors,Healthcare Practitioners and Technical,47.55,
Computer Programmers,Computer and Mathematical Occupations,47.44,
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Healthcare Practitioners and Technical,47.28,
Web and Digital Interface Designers,Computer and Mathematical Occupations,47.16,
Video Game Designers,Computer and Mathematical Occupations,47.16,
Atmospheric and Space Scientists,"Life, Physical, and Social Science",46.85,
Geographers,"Life, Physical, and Social Science",46.73,
Nuclear Medicine Technologists,Healthcare Practitioners and Technical,46.64,
Network and Computer Systems Administrators,Computer and Mathematical Occupations,46.54,
"Architects, Except Landscape and Naval",Architecture and Engineering,46.49,
"Agents and Business Managers of Artists, Performers, and Athletes",Business and Financial Operations,46.3,
Clinical and Counseling Psychologists,"Life, Physical, and Social Science",46.07,
Dental Hygienists,Healthcare Practitioners and Technical,45.32,
Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,45.0,
Critical Care Nurses,Healthcare Practitioners and Technical,45.0,
Clinical Nurse Specialists,Healthcare Practitioners and Technical,45.0,
Coaches and Scouts,"Arts, Design, Entertainment, Sports, and Media",45.0,
Acute Care Nurses,Healthcare Practitioners and Technical,45.0,
Police Identification and Records Officers,Protective Service,44.99,
Intelligence Analysts,Protective Service,44.99,
Detectives and Criminal Investigators,Protective Service,44.99,
Labor Relations Specialists,Business and Financial Operations,44.95,
"Biological Scientists, All Other","Life, Physical, and Social Science",44.87,
Biologists,"Life, Physical, and Social Science",44.87,
Geneticists,"Life, Physical, and Social Science",44.87,
Bioinformatics Scientists,"Life, Physical, and Social Science",44.87,
Molecular and Cellular Biologists,"Life, Physical, and Social Science",44.87,
Postmasters and Mail Superintendents,Management Occupations,44.58,
Electrical Power-Line Installers and Repairers,"Installation, Maintenance, and Repair",44.5,
First-Line Supervisors of Firefighting and Prevention Workers,Protective Service,44.44,
Audiologists,Healthcare Practitioners and Technical,44.29,
Hydrologists,"Life, Physical, and Social Science",44.26,
Technical Writers,"Arts, Design, Entertainment, Sports, and Media",44.07,
Legislators,Management Occupations,44.0,
Operations Research Analysts,Computer and Mathematical Occupations,43.89,
Web Developers,Computer and Mathematical Occupations,43.72,
Financial Examiners,Business and Financial Operations,43.46,
Models,Sales and Related,43.26,
Diagnostic Medical Sonographers,Healthcare Practitioners and Technical,42.95,
"Education Administrators, All Other",Management Occupations,42.81,
Musicians and Singers,"Arts, Design, Entertainment, Sports, and Media",42.45,
Magnetic Resonance Imaging Technologists,Healthcare Practitioners and Technical,42.4,
"Farmers, Ranchers, and Other Agricultural Managers",Management Occupations,42.3,
Budget Analysts,Business and Financial Operations,42.27,
"Life Scientists, All Other","Life, Physical, and Social Science",42.21,
Microbiologists,"Life, Physical, and Social Science",41.98,
Emergency Management Directors,Management Occupations,41.41,
Aviation Inspectors,Transportation and Material Moving,41.23,
Gambling Managers,Management Occupations,41.14,
"Captains, Mates, and Pilots of Water Vessels",Transportation and Material Moving,41.13,
Food Scientists and Technologists,"Life, Physical, and Social Science",41.02,
Subway and Streetcar Operators,Transportation and Material Moving,40.78,
Agricultural Engineers,Architecture and Engineering,40.69,
Chemists,"Life, Physical, and Social Science",40.46,
First-Line Supervisors of Non-Retail Sales Workers,Sales and Related,40.45,
Epidemiologists,"Life, Physical, and Social Science",40.38,
Occupational Health and Safety Specialists,"Life, Physical, and Social Science",40.34,
Signal and Track Switch Repairers,"Installation, Maintenance, and Repair",40.19,
Talent Directors,"Arts, Design, Entertainment, Sports, and Media",40.13,
Media Technical Directors/Managers,"Arts, Design, Entertainment, Sports, and Media",40.13,
Producers and Directors,"Arts, Design, Entertainment, Sports, and Media",40.13,
Media Programming Directors,"Arts, Design, Entertainment, Sports, and Media",40.13,
Gas Plant Operators,Production,40.1,
"Electrical and Electronics Installers and Repairers, Transportation Equipment","Installation, Maintenance, and Repair",39.77,
Transit and Railroad Police,Protective Service,39.58,
Accountants and Auditors,Business and Financial Operations,39.27,
Avionics Technicians,"Installation, Maintenance, and Repair",39.13,
Online Merchants,Business and Financial Operations,39.07,
Business Continuity Planners,Business and Financial Operations,39.07,
Sustainability Specialists,Business and Financial Operations,39.07,
Security Management Specialists,Business and Financial Operations,39.07,
"Business Operations Specialists, All Other",Business and Financial Operations,39.07,
Credit Analysts,Business and Financial Operations,38.93,
Logistics Analysts,Business and Financial Operations,38.89,
Logisticians,Business and Financial Operations,38.89,
Logistics Engineers,Business and Financial Operations,38.89,
Fashion Designers,"Arts, Design, Entertainment, Sports, and Media",38.79,
"Fraud Examiners, Investigators and Analysts",Business and Financial Operations,38.55,
Financial Quantitative Analysts,Business and Financial Operations,38.55,
"Financial Specialists, All Other",Business and Financial Operations,38.55,
Industrial Ecologists,"Life, Physical, and Social Science",38.49,
"Environmental Scientists and Specialists, Including Health","Life, Physical, and Social Science",38.49,
Climate Change Policy Analysts,"Life, Physical, and Social Science",38.49,
Environmental Restoration Planners,"Life, Physical, and Social Science",38.49,
Insurance Underwriters,Business and Financial Operations,38.4,
Aerospace Engineering and Operations Technologists and Technicians,Architecture and Engineering,38.38,
Landscape Architects,Architecture and Engineering,38.3,
Commercial and Industrial Designers,"Arts, Design, Entertainment, Sports, and Media",38.2,
Animal Scientists,"Life, Physical, and Social Science",38.04,
"Umpires, Referees, and Other Sports Officials","Arts, Design, Entertainment, Sports, and Media",38.0,
Chiropractors,Healthcare Practitioners and Technical,37.98,
First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,37.83,
Aircraft Mechanics and Service Technicians,"Installation, Maintenance, and Repair",37.83,
Regulatory Affairs Specialists,Business and Financial Operations,37.7,
Environmental Compliance Inspectors,Business and Financial Operations,37.7,
Government Property Inspectors and Investigators,Business and Financial Operations,37.7,
Equal Opportunity Representatives and Officers,Business and Financial Operations,37.7,
Customs Brokers,Business and Financial Operations,37.7,
Coroners,Business and Financial Operations,37.7,
Compliance Officers,Business and Financial Operations,37.7,
Cartographers and Photogrammetrists,Architecture and Engineering,37.68,
"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair",37.64,
Acupuncturists,Healthcare Practitioners and Technical,37.57,
"Securities, Commodities, and Financial Services Sales Agents",Sales and Related,37.57,
Fire Inspectors and Investigators,Protective Service,37.53,
Non-Destructive Testing Specialists,Architecture and Engineering,37.21,
"Engineering Technologists and Technicians, Except Drafters, All Other",Architecture and Engineering,37.21,
Locomotive Engineers,Transportation and Material Moving,37.21,
Photonics Technicians,Architecture and Engineering,37.21,
Electrical and Electronic Engineering Technologists and Technicians,Architecture and Engineering,37.11,
"Entertainment and Recreation Managers, Except Gambling",Management Occupations,37.11,
Cost Estimators,Business and Financial Operations,37.05,
"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations,37.03,
Search Marketing Strategists,Business and Financial Operations,37.0,
Market Research Analysts and Marketing Specialists,Business and Financial Operations,37.0,
Funeral Home Managers,Management Occupations,36.94,
"Claims Adjusters, Examiners, and Investigators",Business and Financial Operations,36.92,
"Insurance Appraisers, Auto Damage",Business and Financial Operations,36.85,
"Roof Bolters, Mining",Construction and Extraction,36.85,
First-Line Supervisors of Correctional Officers,Protective Service,36.69,
Police and Sheriff's Patrol Officers,Protective Service,36.68,
Customs and Border Protection Officers,Protective Service,36.68,
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Business and Financial Operations,36.37,
"Buyers and Purchasing Agents, Farm Products",Business and Financial Operations,36.37,
"Wholesale and Retail Buyers, Except Farm Products",Business and Financial Operations,36.37,
Editors,"Arts, Design, Entertainment, Sports, and Media",36.18,
"First-Line Supervisors of Protective Service Workers, All Other",Protective Service,36.04,
Instructional Coordinators,"Education, Training, and Library",35.92,
"Control and Valve Installers and Repairers, Except Mechanical Door","Installation, Maintenance, and Repair",35.91,
Executive Secretaries and Executive Administrative Assistants,Office and Administrative Support,35.7,
Loan Officers,Business and Financial Operations,35.66,
Railroad Conductors and Yardmasters,Transportation and Material Moving,35.62,
Historians,"Life, Physical, and Social Science",35.6,
Dietitians and Nutritionists,Healthcare Practitioners and Technical,35.5,
Electrical and Electronics Drafters,Architecture and Engineering,35.44,
Chemical Plant and System Operators,Production,35.35,
Boilermakers,Construction and Extraction,35.26,
Computer Network Support Specialists,Computer and Mathematical Occupations,35.26,
Human Resources Specialists,Business and Financial Operations,35.05,
"Artists and Related Workers, All Other","Arts, Design, Entertainment, Sports, and Media",34.98,
Geodetic Surveyors,Architecture and Engineering,34.97,
